postdate,Valdate,Details, Amount , UD1 
01-Nov-24,01-Nov-24,REF 671014240984 & 0000427164-250956,2540.00,671014240984
01-Nov-24,01-Nov-24,REF 110926496034 & 0000427164-250957,17995.00,110926496034
01-Nov-24,01-Nov-24,REF 906422350240 & 0000427164-250958,1885.00,906422350240
01-Nov-24,01-Nov-24,REF 152739139482 & 0000427164-250959,950.00,152739139482
01-Nov-24,01-Nov-24,REF 770674609436 & 0000427164-250960,950.00,770674609436
01-Nov-24,01-Nov-24,REF 550657375076 & 0000285473-250961,10100.00,550657375076
01-Nov-24,01-Nov-24,REF 250464442644 & 0000427164-250962,10100.00,250464442644
01-Nov-24,01-Nov-24,REF 528745170492 & 0000285473-250963,8100.00,528745170492
01-Nov-24,01-Nov-24,REF 524976117319 & 0000285473-235907,60300.00,524976117319
01-Nov-24,01-Nov-24,REF 325435342938 & 0000285472-235908,5100.00,325435342938
01-Nov-24,01-Nov-24,REF 143805975870 & 0000285474-250964,10200.00,143805975870
01-Nov-24,01-Nov-24,REF 796884341340 & 0000104428-235909,10200.00,796884341340
01-Nov-24,01-Nov-24,REF 717582318741 & 0000285473-235910,4100.00,717582318741
01-Nov-24,01-Nov-24,REF 925309345795 & 0000285473-235911,10100.00,925309345795
01-Nov-24,01-Nov-24,REF 182152851910 & 0000427164-250965,755.00,182152851910
01-Nov-24,01-Nov-24,REF 139061565067 & 0000285473-235912,20200.00,139061565067
01-Nov-24,01-Nov-24,REF 613391279154 & 0000285472-250966,25200.00,613391279154
01-Nov-24,01-Nov-24,REF 490011090844 & 0000427155-250967,3800.00,490011090844
01-Nov-24,01-Nov-24,REF 725127600278 & 0000427155-250968,3800.00,725127600278
01-Nov-24,01-Nov-24,REF 461886789510 & 0000427163-250970,4000.00,461886789510
01-Nov-24,01-Nov-24,REF 086724125763 & 0000285472-250971,13900.00,086724125763
01-Nov-24,01-Nov-24,REF 941056708473 & 0000427163-250974,3800.00,941056708473
01-Nov-24,01-Nov-24,REF 583768647313 & 0000427163-250975,4000.00,583768647313
01-Nov-24,01-Nov-24,REF 404196933894 & 0000285473-250976,7100.00,404196933894
01-Nov-24,01-Nov-24,REF 084812023488 & 0000427154-250977,8600.00,084812023488
01-Nov-24,01-Nov-24,REF 022039037992 & 0000427164-250978,18100.00,022039037992
01-Nov-24,01-Nov-24,REF 829403089783 & 0000285473-250979,10100.00,829403089783
01-Nov-24,01-Nov-24,REF 597630735781 & 0000427164-250980,9100.00,597630735781
01-Nov-24,01-Nov-24,REF 215903915863 & 0000427163-250981,4000.00,215903915863
01-Nov-24,01-Nov-24,REF 374860498293 & 0000285473-250983,82200.00,374860498293
01-Nov-24,01-Nov-24,REF 111826389017 & 0000285471-250984,8068.00,111826389017
01-Nov-24,01-Nov-24,REF 675085810039 & 0000223003-250985,3450.00,675085810039
01-Nov-24,01-Nov-24,REF 671720827019 & 0000427153-250986,51860.00,671720827019
01-Nov-24,01-Nov-24,REF 140712501066 & 0000427164-250987,15100.00,140712501066
01-Nov-24,01-Nov-24,REF 101515632865 & 0000223003-250988,20600.00,101515632865
01-Nov-24,01-Nov-24,REF 521780953363 & 0000285471-250989,2440.00,521780953363
01-Nov-24,01-Nov-24,REF 344848671403 & 0000427164-250990,6100.00,344848671403
01-Nov-24,01-Nov-24,REF 729839980749 & 0000223003-250991,2700.00,729839980749
01-Nov-24,01-Nov-24,REF 846732720215 & 0000223003-235913,33850.00,846732720215
01-Nov-24,01-Nov-24,REF 622047743740 & 0000223003-235914,52600.00,622047743740
01-Nov-24,01-Nov-24,REF 831039026582 & 0000223006-235915,7600.00,831039026582
01-Nov-24,01-Nov-24,REF 790127128514 & 0000223006-235916,7600.00,790127128514
01-Nov-24,01-Nov-24,REF 052214170153 & 0000427153-250992,84500.00,052214170153
01-Nov-24,01-Nov-24,REF 683943880037 & 0000285471-250993,680.00,683943880037
