Postdate,Valdate,Details,Amount,UD1
01-Jan-24,01-Jan-24,REF  000003240101000125002755131718   _8034820058,"20,000.00",000003240101000125002755131718
01-Jan-24,01-Jan-24,REF  090267240101003928603006959508   _0000262896,750.00,090267240101003928603006959508
01-Jan-24,01-Jan-24,REF  000014240101004546288307865481   _4000248607,"30,000.00",000014240101004546288307865481
01-Jan-24,01-Jan-24,REF  090267240101005410384050704550   _8440208982,"8,500.00",090267240101005410384050704550
01-Jan-24,01-Jan-24,REF  000001240101010006381156880179   _0000100571,"10,000,000.00",000001240101010006381156880179
01-Jan-24,01-Jan-24,REF  000013240101022153000060978078   _0605009713,"2,500.00",000013240101022153000060978078
01-Jan-24,01-Jan-24,REF  000023240101022347008085992040   _0605009713,"10,000.00",000023240101022347008085992040
01-Jan-24,01-Jan-24,REF  000013240101025534000060996062   _0605005221,"30,000.00",000013240101025534000060996062
01-Jan-24,01-Jan-24,REF  100004240101015612110143270209   _1002552938,"30,000.00",100004240101015612110143270209
01-Jan-24,01-Jan-24,REF  000001240101030007893635680658   _0000100571,"10,000,000.00",000001240101030007893635680658
01-Jan-24,01-Jan-24,REF  100004240101023003110143327177   _0202365077,500.00,100004240101023003110143327177
01-Jan-24,01-Jan-24,REF  100004240101023117110143535161   _8840209035,"9,000.00",100004240101023117110143535161
01-Jan-24,01-Jan-24,REF  100004240101023504110143333975   _0000224008,"15,050.00",100004240101023504110143333975
01-Jan-24,01-Jan-24,REF  000013240101034608000061011742   _4000248609,"30,000.00",000013240101034608000061011742
01-Jan-24,01-Jan-24,REF  100033240101031332000000245043   _0000224008,"1,310.00",100033240101031332000000245043
01-Jan-24,01-Jan-24,REF  100033240101032813000000251560   _0204769698,200.00,100033240101032813000000251560
01-Jan-24,01-Jan-24,REF  100033240101040602000000264938   _0000224008,"4,970.00",100033240101040602000000264938
01-Jan-24,01-Jan-24,REF  000001240101050005677207433807   _0000100571,"10,000,000.00",000001240101050005677207433807
01-Jan-24,01-Jan-24,REF  000004240101054245854251581502   _0000769081,"95,650.00",000004240101054245854251581502
01-Jan-24,01-Jan-24,REF  100004240101044838110143639308   _8840209064,"5,000.00",100004240101044838110143639308
01-Jan-24,01-Jan-24,REF  100004240101050217110143749513   _8840209064,"6,100.00",100004240101050217110143749513
01-Jan-24,01-Jan-24,REF  100004240101050900110144074360   _8840209064,600.00,100004240101050900110144074360
01-Jan-24,01-Jan-24,REF  090267240101062744217025017915   _1002552829,"5,462.00",090267240101062744217025017915
01-Jan-24,01-Jan-24,REF  060004240101064430644323313421   _8441035749,"10,000.00",060004240101064430644323313421
01-Jan-24,01-Jan-24,REF  000001240101070005019835088508   _0000100571,"10,000,000.00",000001240101070005019835088508
01-Jan-24,01-Jan-24,REF  100004240101060338110144207242   _8840209064,"3,200.00",100004240101060338110144207242
01-Jan-24,01-Jan-24,REF  100004240101060943110144227452   _4000248611,"37,515.00",100004240101060943110144227452
01-Jan-24,01-Jan-24,REF  000016240101071637000089065892   _0000224008,"3,900.00",000016240101071637000089065892
01-Jan-24,01-Jan-24,REF  100004240101061720110144355452   _0000224015,"41,100.00",100004240101061720110144355452
01-Jan-24,01-Jan-24,REF  000001240101072030000291506450   _0000474106,"30,000.00",000001240101072030000291506450
01-Jan-24,01-Jan-24,REF  000001240101072252000291506461   _0000474106,"100,000.00",000001240101072252000291506461
01-Jan-24,01-Jan-24,REF  100004240101063022110144497698   _0000224015,"17,000.00",100004240101063022110144497698
01-Jan-24,01-Jan-24,REF  000013240101073134000061084114   _4000248613,"30,000.00",000013240101073134000061084114
01-Jan-24,01-Jan-24,REF  000007240101073606465293162372   _8441774789,800.00,000007240101073606465293162372
01-Jan-24,01-Jan-24,REF  000023240101074019008086000277   _0605009713,"287,000.00",000023240101074019008086000277
01-Jan-24,01-Jan-24,REF  100004240101065322110144795856   _0000224008,"2,050.00",100004240101065322110144795856
01-Jan-24,01-Jan-24,REF  000002240101083154631004180866   _0000561142,"30,000.00",000002240101083154631004180866
01-Jan-24,01-Jan-24,REF  000004240101083259915733447408   _8441975641,"1,000.00",000004240101083259915733447408
01-Jan-24,01-Jan-24,REF  100004240101073553110145581172   _1002551701,"30,000.00",100004240101073553110145581172
01-Jan-24,01-Jan-24,REF  100033240101074436000000487429   _9135804570,"3,111.00",100033240101074436000000487429
01-Jan-24,01-Jan-24,REF  000015240101085405549166021673   _4000208387,"1,520.00",000015240101085405549166021673
01-Jan-24,01-Jan-24,REF  090267240101085448600050704550   _8440208809,"1,000.00",090267240101085448600050704550
01-Jan-24,01-Jan-24,REF  090110240101085600489777105384   _7082322251,"1,000.00",090110240101085600489777105384
